Unnamed: 0,카페 번호,카페 이름,도로명 주소,URL
17,37775717.0,요거프레소 평화광장점,전남 목포시 평화로107번길 27 요거프레소 평화광장점,https://m.place.naver.com/restaurant/37775717/home
18,1787597186.0,빽다방 목포터미널점,전남 목포시 영산로 515 1층,https://m.place.naver.com/restaurant/1787597186/home
19,1042646265.0,디저트39 목포산정점,전남 목포시 청호로 176 쥬빌리 메디칼센터 1층,https://m.place.naver.com/restaurant/1042646265/home
20,16734062.0,파리바게뜨 목포북항점,전남 목포시 청호로 192-1 .,https://m.place.naver.com/restaurant/16734062/home
21,1934402037.0,컴포즈커피 목포평화광장점,전남 목포시 원형로 20 1층,https://m.place.naver.com/restaurant/1934402037/home
22,33021936.0,탐앤탐스 목포상동점,전남 목포시 원형동로 10,https://m.place.naver.com/restaurant/33021936/home
23,1510493668.0,리게인스터디카페 목포북항점,전남 목포시 청호로 188,https://m.place.naver.com/restaurant/1510493668/home
24,1721249190.0,문리버,전남 목포시 만호로 21-2 1층,https://m.place.naver.com/restaurant/1721249190/home
25,31492636.0,까페치노,전남 목포시 유달로 1 까페치노,https://m.place.naver.com/restaurant/31492636/home
26,1817633216.0,달담케이크,전남 목포시 청호로 177 104호 달담케이크,https://m.place.naver.com/restaurant/1817633216/home
27,1295057643.0,오지파머스커피,전남 목포시 번영로 172 대경천사캐슬 1층 101호,https://m.place.naver.com/restaurant/1295057643/home
28,1981629809.0,오프그레이커피,전남 목포시 상리로15번길 1-2 1층 오프그레이커피,https://m.place.naver.com/restaurant/1981629809/home
29,1984290705.0,메가MGC커피 목포연산점,전남 목포시 원산중앙로 107 연산주공아파트상가동 106호,https://m.place.naver.com/restaurant/1984290705/home
30,37547087.0,마시청,전남 목포시 북항로 71 마시청,https://m.place.naver.com/restaurant/37547087/home
31,1169229875.0,빽다방 목포북항골든점,전남 목포시 원산중앙로 10 105호,https://m.place.naver.com/restaurant/1169229875/home
32,417666132.0,이디야커피 목포백련점,전남 목포시 연산백련로7번길 2-14,https://m.place.naver.com/restaurant/417666132/home
33,36439550.0,던킨 목포기독병원점,전남 목포시 백년대로297번길 3 상동,https://m.place.naver.com/restaurant/36439550/home
34,1451559187.0,이화떡케이크,전남 목포시 마인계터로39번길 2-1,https://m.place.naver.com/restaurant/1451559187/home
35,30868225.0,파스쿠찌 목포장미의거리점,전남 목포시 장미로 56 (상동) 상동 1003-1 1F,https://m.place.naver.com/restaurant/30868225/home
36,1616277675.0,큰별스터디카페 포미점,전남 목포시 포미로 8 2층 큰별스터디카페,https://m.place.naver.com/restaurant/1616277675/home
37,1116659223.0,엘리펀트앤코카롱,전남 목포시 삼향천로91번길 10,https://m.place.naver.com/restaurant/1116659223/home
38,1161183986.0,컴포즈커피 목포용당점,전남 목포시 동부로 5 1층,https://m.place.naver.com/restaurant/1161183986/home
39,1218980116.0,하루일기카페,전남 목포시 남악1로16번길 22-11 1층,https://m.place.naver.com/restaurant/1218980116/home
40,1115621359.0,빽다방 목포역점,전남 목포시 수문로 9 1층,https://m.place.naver.com/restaurant/1115621359/home
41,1239514290.0,아이차,전남 목포시 복산길 16-1 1층,https://m.place.naver.com/restaurant/1239514290/home
42,1178003742.0,와플랑 목포하당점,전남 목포시 평화로 44 2층,https://m.place.naver.com/restaurant/1178003742/home
43,1293693992.0,메가MGC커피 목포포미점,전남 목포시 용해지구로 11,https://m.place.naver.com/restaurant/1293693992/home
44,1608796131.0,대단한탕후루 목포석현점,전남 목포시 영산로565번길 9 상가동 107호,https://m.place.naver.com/restaurant/1608796131/home
45,1850417071.0,메가MGC커피 목포상동점,전남 목포시 백년대로 324,https://m.place.naver.com/restaurant/1850417071/home
46,1097320596.0,해피니스,전남 목포시 백년대로 288 1층,https://m.place.naver.com/restaurant/1097320596/home
47,35076031.0,설빙 전남목포장미꽃길점,전남 목포시 장미로 30,https://m.place.naver.com/restaurant/35076031/home
48,1062402751.0,셀렉토커피 목포하당점,전남 목포시 옥암로 16,https://m.place.naver.com/restaurant/1062402751/home
49,1055825674.0,갑순이라이브 7080,전남 목포시 통일대로 42-1 2층,https://m.place.naver.com/restaurant/1055825674/home
